run,best_fit,runtime_sec,conv_gen_1pct
1,7569,0.26518770000257064,45
2,7622,0.26225390000035986,49
3,7293,0.2682938999932958,29
4,7622,0.26810960000148043,49
5,7569,0.37754460000724066,217
6,7293,0.5753276000032201,24
7,7622,0.35725869999441784,60
8,7293,0.2754281999950763,119
9,7293,0.2857470999879297,269
10,7622,0.2789566000137711,131
11,7293,0.2712657000083709,171
12,7622,0.4473068999941461,92
13,7293,0.2775778000068385,173
14,7569,0.25517499999841675,39
15,7569,0.30573639999784064,30
16,7293,0.2410822000092594,27
17,7293,0.24211140000261366,77
18,7293,0.25761090000742115,19
19,7293,0.2948671999911312,103
20,7293,0.2899108999990858,15
21,7569,0.2584077000065008,25
22,7569,0.24539550000918098,48
23,7622,0.26234350001323037,17
24,7293,0.2649385999975493,27
25,7622,0.25262230000225827,134
26,7622,0.25436080001236405,22
27,7293,0.2624867999984417,138
28,7293,0.2555907999922056,221
29,7622,0.2219731000077445,59
30,7293,0.250180699993507,28
