run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.3174397999973735,17
2,7293,0.3411533999897074,18
3,7293,0.2590767999936361,27
4,7293,0.2575639999995474,38
5,7293,0.2793676000001142,15
6,7622,0.3146217000030447,14
7,7622,0.3329210000083549,31
8,7293,0.3058986000105506,14
9,7293,0.31772439999622293,11
10,7293,0.274080099989078,22
11,7622,0.2726908999902662,30
12,7293,0.5826603000023169,18
13,7622,0.524568900000304,35
14,7622,0.5632526999979746,10
15,7293,0.3522261000034632,24
16,7622,0.33273779999581166,53
17,7293,0.276776400001836,32
18,7293,0.3215472000010777,175
19,7569,0.35317099999519996,85
20,7293,0.5559711999958381,46
21,7293,0.31773989999783225,13
22,7622,0.2689429000020027,46
23,7569,0.28201870000339113,45
24,7622,0.26279199999407865,44
25,7293,0.2555490000086138,43
26,7569,0.2725547999871196,15
27,7293,0.2453797000052873,16
28,7622,0.25218510000559036,52
29,7293,0.25244509999174625,37
30,7622,0.25695830000040587,41
