run,best_fit,runtime_sec,conv_gen_1pct
1,7618,0.2826067999994848,34
2,7569,0.27283190000161994,31
3,7293,0.26701939999475144,41
4,7293,0.2301969999971334,48
5,7293,0.2380406000011135,60
6,7295,0.24401389999547973,141
7,7622,0.24372630000289064,31
8,7569,0.2532169000041904,32
9,7293,0.2406271000072593,32
10,7293,0.25828789999650326,19
11,7293,0.26914280001074076,141
12,7310,0.2593078000063542,18
13,7293,0.24182399999699555,44
14,7691,0.24750169999606442,177
15,7622,0.2558971999969799,24
16,7293,0.23974679999810178,79
17,7741,0.24909669999033213,66
18,7622,0.240998799999943,39
19,7569,0.24838269999600016,32
20,7293,0.25332089999574237,134
21,7295,0.254214000000502,237
22,7312,0.23718080000253394,196
23,7293,0.24443690000043716,60
24,7653,0.29682750000210945,27
25,7987,0.29182709999440704,35
26,7293,0.275720799996634,68
27,8184,0.47934460001124535,19
28,7310,0.7280402999895159,40
29,7295,0.30606620000617113,373
30,7660,0.2589365000021644,29
