config,best_fit_mean,best_fit_std,best_fit_min,best_fit_max,best_fit_median,runtime_mean,runtime_std,conv1pct_mean_gen,conv1pct_std_gen
0% (K=0),7471.566666666667,231.09589399689088,7293,8184,7310.0,0.2802793966664467,0.09399812057442239,76.9,79.03220862407933
1% (K=0),7465,200.09631014422362,7293,8028,7314.0,0.30438263333198845,0.10205491881964833,61.1,56.92588749125188
5% (K=2),7430.266666666666,157.6572090186667,7293,7622,7293.0,0.32673384666559285,0.0958129059823196,35.56666666666667,30.699276140579528
10% (K=5),7446.9,154.99125781798148,7293,7622,7431.0,0.28750173666824896,0.06922736290485929,81.9,69.241774481402
