config,best_fit_mean,best_fit_std,best_fit_min,best_fit_max,best_fit_median,runtime_mean,runtime_std,conv1pct_mean_gen,conv1pct_std_gen
2,7432.033333333334,159.4882405975089,7293,7622,7293.0,0.22761422333326967,0.014171780653851898,59.56666666666667,51.488952428867904
3,7446.966666666666,154.92546236461226,7293,7622,7432.0,0.24228673333176023,0.01503118492857687,51.6,58.30414507848763
5,7387.3,142.51412795462304,7293,7651,7293.0,0.26386563666649937,0.031241949170642894,65.4,56.68015525737381
7,7492.7,186.34218523995042,7293,7861,7569.0,0.2716338600007778,0.020733873500141074,77.06666666666666,77.18503021239863
