run,best_fit,runtime_sec,conv_gen_1pct
1,7569,0.2843991999980062,43
2,7622,0.3091786000004504,7
3,7293,0.26376809999055695,29
4,7293,0.24351190000015777,5
5,7569,0.25965000000724103,177
6,7808,0.25714960000186693,12
7,7569,0.2565305000025546,4
8,7293,0.26222980000602547,50
9,7622,0.26484740000159945,145
10,7310,0.2804618000081973,29
11,7569,0.28701379999984056,125
12,7861,0.2767977999901632,54
13,7639,0.2541180000116583,75
14,7573,0.2774594999937108,63
15,7293,0.2619667999970261,68
16,7310,0.25514880000264384,21
17,7622,0.27022669999860227,47
18,7293,0.2566917999938596,141
19,7310,0.2818100000004051,19
20,7651,0.25731280000763945,23
21,7861,0.2535440999927232,123
22,7573,0.2618071000033524,44
23,7293,0.2757541000028141,17
24,7569,0.24935240000195336,109
25,7622,0.2958448999997927,40
26,7293,0.25453400000697,37
27,7293,0.2855971000099089,342
28,7293,0.2865076999878511,43
29,7622,0.27728759999445174,172
30,7293,0.3485139000113122,248
