run,best_fit,runtime_sec,conv_gen_1pct
1,7622,0.2549502999900142,27
2,7293,0.22022790000482928,15
3,7622,0.24846639999304898,51
4,7293,0.22164210000482854,56
5,7293,0.2306832000031136,63
6,7622,0.21329250000417233,28
7,7293,0.21714009999413975,40
8,7293,0.22264480000012554,63
9,7293,0.2118527999991784,27
10,7293,0.23832269999547862,25
11,7622,0.2047686000005342,37
12,7293,0.22172700001101475,74
13,7622,0.21304800000507385,37
14,7293,0.2170540999941295,67
15,7293,0.21192980000341777,128
16,7622,0.22659359998942818,42
17,7293,0.20812919999298174,24
18,7569,0.21582929999567568,67
19,7293,0.23779290000675246,24
20,7569,0.24687799999082927,23
21,7293,0.24705200000607874,193
22,7622,0.24523030000273138,32
23,7293,0.21010589999787044,76
24,7293,0.23673410000628792,257
25,7293,0.22984419998829253,94
26,7622,0.23223690000304487,57
27,7622,0.22021780000068247,18
28,7293,0.24980340000183787,68
29,7622,0.2437668000056874,18
30,7622,0.23046200000680983,56
