run,best_fit,runtime_sec,conv_gen_1pct
1,7622,0.23373509998782538,15
2,7293,0.24495089999982156,264
3,7293,0.24263200000859797,11
4,7622,0.24261919999844395,14
5,7293,0.21451759999035858,289
6,7293,0.22323610000603367,63
7,7622,0.24643379999906756,96
8,7293,0.2583133000007365,35
9,7622,0.25542139999743085,79
10,7293,0.2852386000013212,32
11,7293,0.2329567999986466,100
12,7293,0.26184079999802634,26
13,7293,0.30738290000590496,73
14,7293,0.2099214000045322,25
15,7293,0.25317809999978635,45
16,7622,0.23040869999385905,38
17,7569,0.2383527000056347,30
18,7293,0.22420460000284947,38
19,7293,0.2468728999956511,125
20,7569,0.2535329999955138,27
21,7622,0.2457596000022022,49
22,7293,0.23750980000477284,46
23,7569,0.23011720000067726,60
24,7293,0.23153229999297764,43
25,7622,0.22308450000127777,22
26,7293,0.26903860000311397,52
27,7622,0.2376522999984445,37
28,7293,0.26071950000186916,44
29,7569,0.26075800000398885,27
30,7622,0.31977639999240637,15
