config,best_fit_mean,best_fit_std,best_fit_min,best_fit_max,best_fit_median,runtime_mean,runtime_std,conv1pct_mean_gen,conv1pct_std_gen
20,7486.1,187.32010926041372,7293,7861,7569.0,0.08454070666630287,0.008201834596272559,141.93333333333334,94.35462657207412
50,7428.5,155.78462696941568,7293,7622,7293.0,0.24738993666639242,0.0240269713656864,60.666666666666664,63.56903508959549
100,7380.8,145.449510140117,7293,7622,7293.0,0.4890860399992865,0.032125125350696164,47.333333333333336,91.9758422389029
