run,best_fit,runtime_sec,conv_gen_1pct
1,7295,0.469831599999452,377
2,7293,0.4924522000073921,7
3,7622,0.4670588000008138,13
4,7293,0.4895408999873325,18
5,7293,0.47423610000987537,23
6,7622,0.5072005000110948,39
7,7293,0.47882879999815486,24
8,7293,0.47026699999696575,17
9,7293,0.47623400000156835,23
10,7293,0.5052647999982582,25
11,7622,0.6176616000011563,14
12,7622,0.5356942999933381,20
13,7622,0.48751639999682084,29
14,7293,0.49278109999431763,389
15,7293,0.49690719999489374,123
16,7622,0.5112816000037128,21
17,7293,0.48880089999875054,34
18,7622,0.47405040000739973,11
19,7293,0.4913706999941496,15
20,7293,0.48317069999757223,12
21,7622,0.5425912999926368,13
22,7293,0.47403350000968203,13
23,7293,0.49404869999852963,14
24,7293,0.4631875999912154,17
25,7293,0.48120270000072196,10
26,7293,0.48222909998730756,21
27,7293,0.4364646000030916,26
28,7293,0.4495034999999916,11
29,7293,0.4615938000060851,42
30,7293,0.47757679999631364,19
