run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.09970659999817144,198
2,7295,0.09865580000041518,266
3,7748,0.08274660000461154,187
4,7622,0.08182809999561869,309
5,7569,0.08774239999183919,256
6,7622,0.10947310000483412,112
7,7808,0.08311190000677016,56
8,7293,0.08292200000141747,225
9,7622,0.08128060000308324,99
10,7639,0.08223349999752827,48
11,7622,0.08758619999571238,106
12,7293,0.07747840000956785,60
13,7861,0.07614000000467058,29
14,7293,0.08925259999523405,111
15,7653,0.07498330000089481,307
16,7310,0.08550210000248626,73
17,7622,0.08916359998693224,226
18,7569,0.09808130000601523,74
19,7293,0.0774777000042377,106
20,7293,0.08979620000172872,279
21,7293,0.07811289999517612,17
22,7310,0.07556420000037178,27
23,7293,0.07582399999955669,53
24,7293,0.07574949999980163,82
25,7293,0.084324800001923,213
26,7622,0.08980149999842979,297
27,7293,0.08163949998561293,89
28,7622,0.0821486999921035,222
29,7622,0.07580230000894517,110
30,7622,0.08209179999539629,21
