run,best_fit,runtime_sec,conv_gen_1pct
1,7639,0.316651399989496,93
2,7293,0.24371290000271983,135
3,7622,0.2631422999984352,10
4,7622,0.23491400000057183,4
5,7293,0.2352242000051774,14
6,7569,0.2346553999959724,59
7,7293,0.2612183000019286,326
8,7293,0.22767439999734052,7
9,7293,0.2284419999923557,273
10,7622,0.24001560000760946,42
11,7569,0.2398799000075087,8
12,7293,0.23666530000627972,152
13,7622,0.2591709999978775,29
14,7293,0.2928896000084933,294
15,7293,0.23073360000853427,174
16,7293,0.2682024000096135,16
17,7293,0.242592099995818,47
18,7293,0.23300079999899026,71
19,7569,0.22896950000722427,57
20,7293,0.2526925999991363,155
21,7622,0.2488461000029929,21
22,7569,0.23885940000764094,333
23,7569,0.22609749999537598,22
24,7293,0.2339605000015581,13
25,7293,0.22319670001161285,60
26,7293,0.2334807000006549,27
27,7293,0.22348230000352487,29
28,7622,0.23275129999092314,92
29,7622,0.25806500000180677,42
30,7748,0.24636889999965206,32
