run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.2570463000010932,382
2,7569,0.2472810000035679,66
3,7293,0.23889170000620652,35
4,7293,0.29776489999494515,39
5,7293,0.2516409000090789,30
6,7293,0.23194620000140276,16
7,7293,0.24021459999494255,35
8,7293,0.24189050000859424,42
9,7293,0.25025779999850783,76
10,7293,0.2597223000047961,27
11,7293,0.2547707000048831,302
12,7293,0.23830820000148378,31
13,7293,0.23407150000275578,32
14,7293,0.24254759999166708,246
15,7293,0.22930710000218824,80
16,7293,0.2398135999974329,34
17,7293,0.254338300001109,56
18,7293,0.24162929999874905,79
19,7622,0.2459209000080591,15
20,7293,0.2386974000110058,46
21,7622,0.2544491000007838,10
22,7293,0.25530330000037793,341
23,7293,0.2549713000043994,45
24,7293,0.2336321000038879,67
25,7293,0.24927229998866096,34
26,7293,0.2319576000008965,112
27,7293,0.2698341000068467,47
28,7293,0.24113280000165105,41
29,7293,0.21896050000214018,192
30,7293,0.22686869998869952,12
