run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.2305046000110451,8
2,7293,0.25159420000272803,15
3,7293,0.2837864000030095,48
4,7569,0.21735449999687262,11
5,7569,0.24978949999785982,48
6,7569,0.23863549999077804,52
7,7293,0.24301449999620672,20
8,7622,0.23494500000379048,37
9,7622,0.2477014999894891,82
10,7293,0.2565277999965474,236
11,7622,0.24295720001100563,16
12,7622,0.2402516000001924,105
13,7569,0.2514531999913743,39
14,7569,0.23841029999312013,15
15,7293,0.2331075999973109,21
16,7293,0.2180330999981379,30
17,7293,0.22930610000912566,108
18,7622,0.24149440000473987,22
19,7293,0.23828979999234434,41
20,7293,0.22737290000077337,67
21,7622,0.24456549999013077,43
22,7293,0.2514346999960253,22
23,7622,0.23907599999802187,31
24,7293,0.24037040000257548,27
25,7293,0.24567919998662546,46
26,7293,0.25148649999755435,18
27,7293,0.2452423000067938,17
28,7293,0.2331049000058556,342
29,7293,0.21224399999482557,28
30,7622,0.22163980000186712,35
